role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Dimitrios Tzovaras,http://data.semanticweb.org/person/dimitrios-tzovaras,,1,,,,c67c7164f492e321abb8ff1feb4f8d85946d397e,1,"Informatics and Telematics Institute (ITI), Greece;ITI;Centre for Research and Technology Hellas (CERTH);Centre for Research and Technology Hellas;CERTH",2
,,,,,Dimitris Sacharidis,http://data.semanticweb.org/person/dimitris-sacharidis,,1,,,,326e2aa65a31726ba7e25c024e4413f7976f514d,1,National Technical University of Athens;National Technical Univ. of Athens,1
,,,,,Dionysios Kehagias,http://data.semanticweb.org/person/dionysios-kehagias,,1,,,,cfa5cd94016ed4b07dd7636339bcaa3dbb4441a6,1,Centre for Research and Technology Hellas (CERTH);Centre for Research and Technology Hellas;CERTH,1
,,,,,Dmitry Rogulin,http://data.semanticweb.org/person/dmitry-rogulin,,1,,,,e228136bb9593a02ba065f7b2741785ef381521e,1,"University of the West of England, Bristol;University of the West of England",1
,,,,,Dominic Mainz,http://data.semanticweb.org/person/dominic-mainz,,1,,,,cf31861d1bc2a2efc82ad849fce0c163d6c1852f,1,"Heinrich-Heine-University Düsseldorf, Institute of Computer Science;Heinrich-Heine-University Duesseldorf, Department of Information Science",1
,,,,,Dominik Benz,http://data.semanticweb.org/person/dominik-benz,,1,,,,5ad53cadeb9a0f5a27afadff026423894157a6e3,1,"Knowledge & Data Engineering Group, University of Kassel",1
,,,,,Dominik Heim,http://data.semanticweb.org/person/dominik-heim,,1,,,,f876c2d60dbb32aaa4f6592da4a37220c1a644f6,1,"DFKI GmbH;DFKI GmbH, Language Technology Lab;DFKI;DFKI GmbH, Kaiserslautern;German Research Center for Artificial Intelligence",1
,,,,,Dumitru Roman,http://data.semanticweb.org/person/dumitru-roman,,1,,,,a3368eaca754953fbcd7ed2ccb2ae7206128aefe,1,Semantic Technology Institute Innsbruck;STI Innsbruck,1
,,,,,Dunja Mladenic,http://data.semanticweb.org/person/dunja-mladenic,,0,,,,98a26dfacc3ce23c7ae695e673e15413b7cb2603,1,Jozef Stefan Institute;J.Stefan Institute,1
,,,,,Edith Schonberg,http://data.semanticweb.org/person/edith-schonberg,,1,,,,a53adc9a4033302868788d98103d812725ab49bf,1,IBM Research Laboratory;IBM Research,1
