role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Workshop Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Jeff Heflin,http://data.semanticweb.org/person/jeff-heflin,http://www.cse.lehigh.edu/~heflin/,,,,0,Lehigh University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Workshop Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Philippe Cudré-Mauroux,http://data.semanticweb.org/person/philippe-cudre-mauroux,http://people.csail.mit.edu/pcm/,,,,0,MIT,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Workshop Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Philippe Cudré-Mauroux,http://data.semanticweb.org/person/philippe-cudre-mauroux,http://people.csail.mit.edu/pcm/,,,,0,MIT,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Panel Chair,http://data.semanticweb.org/conference/iswc/2009/panels/semweb_ontologies,Does the Semantic Web Need Ontologies?,http://data.semanticweb.org/ns/swc/ontology#PanelEvent,Joel Sachs,http://data.semanticweb.org/person/joel-sachs,http://ebiquity.umbc.edu/person/html/Joel/Sachs/,,,,0,"University of Maryland;University of Maryland, USA;University of Maryland, Baltimore County;University of Maryland, College Park;University of Maryland, Baltimore County, USA",1
http://data.semanticweb.org/ns/swc/ontology#Role,ISWC2009 Panelist,http://data.semanticweb.org/conference/iswc/2009/panels/semweb_ontologies,Does the Semantic Web Need Ontologies?,http://data.semanticweb.org/ns/swc/ontology#PanelEvent,Enrico Motta,http://data.semanticweb.org/person/enrico-motta,http://kmi.open.ac.uk/people/motta/,,,,0,"Open University;Knowledge Media Institute (KMI), The Open University",1
http://data.semanticweb.org/ns/swc/ontology#Role,ISWC2009 Panelist,http://data.semanticweb.org/conference/iswc/2009/panels/semweb_ontologies,Does the Semantic Web Need Ontologies?,http://data.semanticweb.org/ns/swc/ontology#PanelEvent,Frank van Harmelen,http://data.semanticweb.org/person/frank-van-harmelen,,,,,0,Vrije Universiteit Amsterdam;VU University Amsterdam,1
http://data.semanticweb.org/ns/swc/ontology#Role,ISWC2009 Panelist,http://data.semanticweb.org/conference/iswc/2009/panels/semweb_ontologies,Does the Semantic Web Need Ontologies?,http://data.semanticweb.org/ns/swc/ontology#PanelEvent,Tom Heath,http://data.semanticweb.org/person/tom-heath,http://tomheath.com/,,,,0,Talis,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Lightning Talks Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/lightning,Lightning talks,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://www.ifi.uzh.ch/ddis/people/bernstein/,,,,0,Universität Zürich,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Lightning Talks Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/lightning,Lightning talks,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,David Karger,http://data.semanticweb.org/person/david-karger,http://people.csail.mit.edu/karger/,,,,0,MIT,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/1,"User and the Social Semantic Web (Collaboration, Policy, and Trust)",http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Natalya Noy,http://data.semanticweb.org/person/natalya-noy,,,,,0,Stanford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/11,Management: Database Technologies,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Steffen Staab,http://data.semanticweb.org/person/steffen-staab,,,,,0,Universität Koblenz-Landau;University of Koblenz-Landau,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/12,Discovering Semantics,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Fabio Ciravegna,http://data.semanticweb.org/person/fabio-ciravegna,http://www.dcs.shef.ac.uk/~fabio/,,,,0,University of Sheffield,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/4,Semantics: Alignment,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Valentina Tamma,http://data.semanticweb.org/person/valentina-tamma,,,,,0,University of Liverpool,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/5,Applications: Semantic Web technologies for Services,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,David Martin,http://data.semanticweb.org/person/david-martin,,,,,0,SRI International,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/6,Semantics: Reasoning with Rules or Modules,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Frank van Harmelen,http://data.semanticweb.org/person/frank-van-harmelen,,,,,0,Vrije Universiteit Amsterdam;VU University Amsterdam,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/7,Applications: Semantic Web technologies for software and systems engineering - Process Models,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Evren Sirin,http://data.semanticweb.org/person/evren-sirin,,,,,0,"Clark & Parsia, LLC",1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2009 Session Chair,http://data.semanticweb.org/conference/iswc/2009/sessions/research/8,Management: Search and query 1,http://data.semanticweb.org/ns/swc/ontology#SessionEvent,Peter Mika,http://data.semanticweb.org/person/peter-mika,http://research.yahoo.com/Peter_Mika,,,c0d6551197a0295bfc604841a994d544e0091665,1,Yahoo! Research;Yahoo Research,1
