event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,2014-10-20T08:00:00,2014-10-20T17:00:00,Europe/Rome,Foyer,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
[WORKSHOP]/lile/2014,,,WorkshopEvent,Linked Learning meets LinkedUp: Learning and Education with the Web of Data,2014-10-20T09:00:00,2014-10-20T17:30:00,Europe/Rome,Sala 1000B,,Chair," Stefan Dietze, Mathieu d’Aquin,Eelco Herder,Dragan Gasevic",,,LILE2014,"The workshop aims to be a highly interactive research forum for exploring the promises of the Web of Linked Data in the broad area of learning by gathering researchers from the areas of the Semantic Web, Social Web, Technology Enhanced Learning (TEL), and Education. We will welcome high-quality papers about actual trends in (a) how education takes advantage of the Web of Data, especially through Linked Data technologies and (b) how Linked Data principles are being applied in educational contexts.",http://linkededucation.org/events/lile2014/,,,http://linkededucation.org/events/lile2014/,EOL
[WORKSHOP]/cold/2014,,,WorkshopEvent,Fifth International Workshop on Consuming Linked Data,2014-10-20T09:00:00,2014-10-20T17:30:00,Europe/Rome,Sala 300B,,Chair,"Olaf Hartig,Juan Sequeda,Aidan Hogan",,,COLD2014,"The quantity of published Linked Data continues to increase. However, applications that consume Linked Data are not yet widespread. Reasons may include a lack of suitable methods for a number of open problems, including the seamless integration of Linked Data from multiple sources, dynamic discovery of available data and data sources, provenance and information quality assessment, application development environments, and appropriate end user interfaces. Addressing these issues requires well- founded research, including the development and investigation of concepts that can be applied in systems which consume Linked Data from the Web. Our main objective is to provide a venue for scientific discourse (including systematic analysis and rigorous evaluation) of concepts, algorithms and approaches for consuming Linked Data.",http://ribs.csres.utexas.edu/cold2014/,,,http://ribs.csres.utexas.edu/cold2014/,EOL
[WORKSHOP]/iesd/2014,,,WorkshopEvent,Intelligent Exploration of Semantic Data,2014-10-20T09:00:00,2014-10-20T17:30:00,Europe/Rome,Sala Meeting,,Chair,"Dhaval Thakker,Daniel Schwabe,Kouji Kozaki,Roberto García,Chris Dijkshoorn,Riichiro Mizoguchi",,,IESD2014,"IESD’14 will continue to provide a forum to discuss approaches for exploring semantic data following two stimulating workshops in this series (2012 and 2013). Semantic data is available widely and semantic data exploration is becoming a key activity in a range of application domains, such as government organisations, education, life science, cultural heritage, and media. Several novel interfaces and interaction means for exploration of semantic data are being proposed, for example exploratory search systems, semantic data browsers, ontology/content visualisation environments and semantic wikis. Although on the rise, the current solutions are still maturing and need to take into account human factors to make exploration intuitive or employ necessary computational models to aid the intuitiveness and improve the effectiveness of exploration tasks. Lessons also can be learned from the commonalities and differences in exploration requirements between different domains. Hence, greater benefits can be achieved by bringing together expertise from different communities, including HCI, Semantic Web, and personalisation with the potential application domain demands.",http://iesd14.wordpress.com/,,,http://iesd14.wordpress.com/,EOL
