altLabel,title,subtitle,uri,source,status,redirects,disambiguates,matched_entity_type,row_type,modified
"Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA","Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA",,,http://www.cbgp.upm.es/,man,,,,,2013/09/03
Biovista,Biovista,,,,ok,,,,,2013/08/01
"Birkbeck College, University of London","Birkbeck, University of London",,"http://dbpedia.org/resource/Birkbeck,_University_of_London",,ok,,,TRUE,,2013/09/03
"Birmingham City University","Birmingham City University",,http://dbpedia.org/resource/Birmingham_City_University,,ok,,,TRUE,,2013/09/03
"Birzeit University","Birzeit University",,http://dbpedia.org/resource/Birzeit_University,,ok,,,TRUE,,2013/08/01
Boeing,Boeing,,http://dbpedia.org/resource/Boeing,,ok,,,,,2013/08/01
"The Boeing Company",Boeing,,http://dbpedia.org/resource/Boeing,,ok,,,,,2013/08/01
"Brandeis University","Brandeis University",,http://dbpedia.org/resource/Brandeis_University,,ok,,,TRUE,,2013/09/03
"Institut für Informationssysteme, TU Braunschweig","Braunschweig University of Technology",,http://dbpedia.org/resource/Braunschweig_University_of_Technology,,man,,,,,2013/09/09
"TU Braunschweig","Braunschweig University of Technology",,http://dbpedia.org/resource/Braunschweig_University_of_Technology,,ok,,,TRUE,,2013/09/09
"Bridgewater College","Bridgewater College",,http://dbpedia.org/resource/Bridgewater_College,,ok,,,TRUE,,2013/08/01
"Brigham Young University","Brigham Young University",,http://dbpedia.org/resource/Brigham_Young_University,,ok,,,,,2013/08/01
"British Telecom",BT,,http://dbpedia.org/resource/BT_Group,,ok,,,,,2013/08/01
BT,BT,,http://dbpedia.org/resource/BT_Group,,ok,,,,,2013/08/01
"Bulgarian Academy of Sciences","Bulgarian Academy of Sciences",,http://dbpedia.org/resource/Bulgarian_Academy_of_Sciences,,ok,,,,,2013/09/05
"Bundeswehr University Munich","Bundeswehr University Munich",,http://dbpedia.org/resource/Bundeswehr_University_Munich,,ok,,,TRUE,,2013/08/01
"University of Venice","Ca' Foscari University of Venice",,http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice,,ok,,,,,2013/08/01
"University of Venice","Ca' Foscari University of Venice",,http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice,,ok,,,,,2013/08/01
"University of Venice","Ca' Foscari University of Venice",,http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice,,ok,,,,,2013/08/01
CalTech,"California Institute of Technology",,http://dbpedia.org/resource/California_Institute_of_Technology,,ok,,,,,2013/08/01
"Capsenta Inc","Capsenta Inc",,,http://www.capsenta.com/,man,,,,,2013/09/26
"Cardiff University","Cardiff University",,http://dbpedia.org/resource/Cardiff_University,,ok,,,TRUE,,2013/09/03
"Carleton University","Carleton University",,http://dbpedia.org/resource/Carleton_University,,ok,,,TRUE,,2013/08/01
"Case Western Reserve University","Case Western Reserve University",,http://dbpedia.org/resource/Case_Western_Reserve_University,,ok,,,TRUE,,2013/09/03
CEFRIEL,CEFRIEL,,,http://www.cefriel.com/,ok,,,,,2013/08/01
CELCT,CELCT,,,,ok,,,,,2013/09/04
"Informatics and Telematics Institute, Thessaloniki","Centre for Research and Technology Hellas",,,http://en.wikipedia.org/wiki/List_of_research_institutes_in_Greece,man-short,,,,,2013/08/01
"Centre for Research and Technology Hellas (CERTH)","Centre for Research and Technology Hellas",,,,man-short,,,,,2013/09/03
"Centrum Wiskunde & Informatica","Centrum Wiskunde & Informatica",,http://dbpedia.org/resource/Centrum_Wiskunde_&_Informatica,,ok,,,TRUE,,2013/09/09
CERN,CERN,,http://dbpedia.org/resource/CERN,,ok,,,TRUE,,2013/09/03
"University Carlos III of Madrid","Charles III University of Madrid",,http://dbpedia.org/resource/Charles_III_University_of_Madrid,,ok,,,TRUE,,2013/09/03
"Charles University in Prague","Charles University in Prague",,http://dbpedia.org/resource/Charles_University_in_Prague,,ok,,,TRUE,,2013/09/03
"TU Chemnitz","Chemnitz University of Technology",,http://dbpedia.org/resource/Chemnitz_University_of_Technology,,ok,,,TRUE,,2013/09/03
"Chinese Academy of Sciences","Chinese Academy of Sciences",,http://dbpedia.org/resource/Chinese_Academy_of_Sciences,,ok,,,TRUE,,2013/09/03
Cisco,"Cisco Systems",,http://dbpedia.org/resource/Cisco_Systems,,ok,,,,,2013/08/01
"Clark & Parsia, LLC","Clark & Parsia",,,,man,,,,,2013/09/04
"Clark & Parsia","Clark & Parsia",,,,ok,,,,,2013/09/03
"Claude Bernard University of Lyon 1","Claude Bernard University Lyon 1",,http://dbpedia.org/resource/Claude_Bernard_University_Lyon_1,,ok,,,TRUE,,2013/08/01
"Université Lyon 1","Claude Bernard University Lyon 1",,http://dbpedia.org/resource/Claude_Bernard_University_Lyon_1,,ok,,,TRUE,,2013/09/04
"LISI, University Claude Bernard","Claude Bernard University Lyon 1",,,https://fr.wikipedia.org/wiki/Laboratoire_d'informatique_en_image_et_syst%C3%A8mes_d'information,man,,,,,2013/08/01
"Universite Lyon 1, LIRIS","Claude Bernard University Lyon 1",,,,man,,,TRUE,,2013/09/03
"University Lyon 1, LIRIS-CNRS","Claude Bernard University Lyon 1",,,,ok,,,,,2013/08/01
"University of Lyon 1, LIRIS-CNRS","Claude Bernard University Lyon 1",,,,ok,,,,,2013/08/01
"Carnegie Mellon University",CMU,,http://dbpedia.org/resource/Carnegie_Mellon_University,,man-short,,,,,2013/08/01
CMU,CMU,,http://dbpedia.org/resource/Carnegie_Mellon_University,,man-short,,,,,2013/08/01
CNAM,CNAM,,http://dbpedia.org/resource/Conservatoire_National_des_Arts_et_M%C3%A9tiers,,man-short,,,,,2013/08/01
